Input Term,Best Match,URI,Similarity Score
adults and nymphs,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.4968
some larvae,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.7169
Adults and undescribed nymph,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.6116
Adults and undetermined immature stages,post-juvenile adult stage,http://purl.obolibrary.org/obo/UBERON_0000113,0.7328
Adult(s),adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7052
Egg(s),egg apparatus,http://purl.obolibrary.org/obo/PO_0020096,0.7178
Adult(s),adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7052
Exuvia,exudate,http://purl.obolibrary.org/obo/UBERON_0007780,0.6049
Adult(s),adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7052
Immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,1.0000
Adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6245
Immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,1.0000
adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6245
immatures,immature,http://purl.obolibrary.org/obo/PATO_0001501,0.8741
Adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6245
Immatures,immature,http://purl.obolibrary.org/obo/PATO_0001501,0.8741
Adults & Immature stages,sexually immature stage,http://purl.obolibrary.org/obo/UBERON_0000112,0.8194
adults; juveniles,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8134
Adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6245
Juveniles,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8717
adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6245
larvae,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.7761
adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6245
larvae,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.7761
and nymphs,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.5323
adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6245
nymph,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.7422
Adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6245
Nymphs,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.6820
Adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6245
Nymphs,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.6820
Adult(s),adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7052
Pupa(e),pupa,http://purl.obolibrary.org/obo/UBERON_0003143,0.8212
adult; subadult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6055
Adult | Subadult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.5847
Adult | subadult | Juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.6987
Adult | subAdult | Juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.6987
adult; subadult; subadult; subadult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.5333
adultt,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.5714
Adult Tapeworm,body of tubeworm,http://purl.obolibrary.org/obo/UBERON_0012641,0.5736
adult; transitional,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.6092
adult unsexed,uniparental disomy,http://purl.obolibrary.org/obo/PATO_0001388,0.5108
adult- vivip,obsolete vitreous,http://purl.obolibrary.org/obo/UBERON_2002290,0.5621
adult wing,wing,http://purl.obolibrary.org/obo/UBERON_0000023,0.7600
adult worker,obsolete adult human,http://purl.obolibrary.org/obo/UBERON_0011942,0.5704
Adult worker,obsolete adult human,http://purl.obolibrary.org/obo/UBERON_0011942,0.5704
Adult Worker,obsolete adult human,http://purl.obolibrary.org/obo/UBERON_0011942,0.5704
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
young,young,http://purl.obolibrary.org/obo/PATO_0000309,1.0000
adut,ADP,http://purl.obolibrary.org/obo/CHEBI_16761,0.6184
Adutl,ADP,http://purl.obolibrary.org/obo/CHEBI_16761,0.6066
aecia,Avicennia,http://purl.obolibrary.org/obo/NCBITaxon_41377,0.5484
Aecia,Avicennia,http://purl.obolibrary.org/obo/NCBITaxon_41377,0.5484
aecial,aerenchyma,http://purl.obolibrary.org/obo/PO_0005702,0.5181
aecial galls,Gallus,http://purl.obolibrary.org/obo/NCBITaxon_9030,0.7097
aecial stage,fully formed stage,http://purl.obolibrary.org/obo/UBERON_0000066,0.6912
aecidia,epaxialis,http://purl.obolibrary.org/obo/UBERON_2000349,0.5997
Aecidia only,obsolete aedeagus,http://purl.obolibrary.org/obo/UBERON_0003198,0.5486
aecidiospores,Acipenserinae,http://purl.obolibrary.org/obo/NCBITaxon_124129,0.4971
Aecidiospores,Acipenserinae,http://purl.obolibrary.org/obo/NCBITaxon_124129,0.4971
aecidium,Phormidium,http://purl.obolibrary.org/obo/NCBITaxon_1198,0.6293
(Aecidium),Phormidium,http://purl.obolibrary.org/obo/NCBITaxon_1198,0.5929
Aecidium,Phormidium,http://purl.obolibrary.org/obo/NCBITaxon_1198,0.6293
Aecidium!,Phormidium,http://purl.obolibrary.org/obo/NCBITaxon_1198,0.5680
Aecidium and teleutospores,neuropore closure,http://purl.obolibrary.org/obo/GO_0021995,0.4572
